REF_DATE,canada_lumber_shipments
2019-01-01,4855.4
2019-02-01,4332.5
2019-03-01,5026.9
2019-04-01,5130.8
2019-05-01,5335.5
2019-06-01,4996.6
2019-07-01,4528.4
2019-08-01,4689.6
2019-09-01,4743.3
2019-10-01,4801.9
2019-11-01,4128.3
2019-12-01,3961.5
2020-01-01,4213.4
2020-02-01,4085.0
2020-03-01,4573.4
2020-04-01,4230.6
2020-05-01,4168.3
2020-06-01,4741.4
2020-07-01,4574.5
2020-08-01,4584.2
2020-09-01,4888.5
2020-10-01,4837.1
2020-11-01,4850.3
2020-12-01,4488.0
2021-01-01,4613.9
2021-02-01,4232.1
2021-03-01,5132.9
2021-04-01,5240.2
2021-05-01,4888.4
2021-06-01,4715.4
2021-07-01,4119.8
2021-08-01,4360.6
2021-09-01,4626.7
2021-10-01,4415.1
2021-11-01,4332.2
2021-12-01,3828.1
2022-01-01,3802.6
2022-02-01,3660.4
2022-03-01,4386.2
2022-04-01,4172.0
2022-05-01,4519.1
2022-06-01,4485.8
2022-07-01,4213.1
2022-08-01,4394.3
2022-09-01,4244.4
2022-10-01,4148.4
2022-11-01,3899.9
2022-12-01,3336.6
2023-01-01,3626.3
2023-02-01,3587.3
2023-03-01,4252.4
2023-04-01,3930.5
2023-05-01,4178.1
2023-06-01,4107.0
2023-07-01,3660.0
2023-08-01,3865.5
2023-09-01,3918.7
2023-10-01,4315.2
2023-11-01,4223.7
2023-12-01,3448.6
2024-01-01,3759.9
2024-02-01,4111.0
2024-03-01,4287.5
2024-04-01,4140.8
2024-05-01,4447.0
2024-06-01,4063.4
2024-07-01,3832.9
2024-08-01,3799.3
2024-09-01,3890.6
2024-10-01,4374.5
2024-11-01,3976.6
2024-12-01,3153.6
2025-01-01,3818.3
2025-02-01,3464.1
2025-03-01,4099.7
2025-04-01,3923.0
2025-05-01,4266.9
2025-06-01,4179.0
2025-07-01,3977.8
2025-08-01,3495.6
2025-09-01,3924.4
2025-10-01,3964.2
2025-11-01,3513.5
2025-12-01,3047.5
2026-01-01,3436.1
2026-02-01,3278.3
2026-03-01,3761.2
2026-04-01,3838.4
2026-05-01,3858.5
